Rows	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80
btd_head_GT	0.33	0.67	0.89	1	1	1	1	1	1	0.89	0.67	0.33	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
btd_head	0.520963	0.498543	0.479378	0.45011	0.425366	0.405536	0.391815	0.37385	0.364103	0.343552	0.334667	0.321464	0.311431	0.305771	0.300302	0.301526	0.290153	0.304761	0.296898	0.292708	0.288342	0.295958	0.298252	0.294992	0.306208	0.302083	0.308964	0.328533	0.322907	0.311205	0.299471	0.301931	0.304621	0.305012	0.293779	0.298692	0.29081	0.285541	0.288647	0.279649	0.276811	0.271271	0.26764	0.260845	0.258574	0.248955	0.254878	0.254373	0.25334	0.256254	0.246265	0.241987	0.246372	0.241184	0.248051	0.248096	0.252793	0.255819	0.26961	0.276348
cnc_(+5)_GT	0	0	0	0.11	0.33	0.67	0.89	1	1	0.89	0.67	0.33	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cnc_(+5)	0.190849	0.181758	0.174342	0.16359	0.154955	0.148411	0.144066	0.138478	0.135801	0.129809	0.127462	0.124093	0.121553	0.120439	0.119568	0.120854	0.118158	0.123546	0.121961	0.121737	0.121257	0.124881	0.127073	0.127037	0.1326	0.133108	0.137819	0.147066	0.146987	0.144804	0.142177	0.144942	0.147426	0.149537	0.146697	0.150192	0.148494	0.147423	0.150001	0.148148	0.148035	0.146967	0.14637	0.144762	0.144364	0.141012	0.144464	0.145167	0.145544	0.147284	0.143671	0.142099	0.144311	0.142681	0.14598	0.145781	0.147556	0.148431	0.153939	0.156289
D_(+4)_GT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.33	0.67	0.89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
D_(+4)	0.799831	0.768269	0.739132	0.697344	0.66225	0.63828	0.623399	0.602823	0.5989	0.57637	0.569918	0.561506	0.554031	0.556041	0.559957	0.577233	0.567913	0.61132	0.609207	0.616855	0.620528	0.654751	0.67891	0.682751	0.728557	0.734515	0.77019	0.837537	0.834533	0.817673	0.798084	0.818459	0.836719	0.852515	0.831458	0.85684	0.843894	0.83526	0.853238	0.837975	0.835732	0.82623	0.820467	0.806707	0.802752	0.776834	0.800112	0.803088	0.803745	0.814966	0.786802	0.774467	0.789582	0.7762	0.799857	0.800086	0.815387	0.825369	0.869683	0.891384
eve_1_ru_GT	0	0	0	0	0	0	0.11	0.33	0.67	0.89	1	1	1	0.89	0.67	0.33	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eve_1_ru	0.321307	0.309013	0.299806	0.285622	0.274206	0.26398	0.256494	0.247246	0.239894	0.229269	0.223646	0.215024	0.208853	0.203503	0.197797	0.193819	0.187237	0.187024	0.181387	0.176093	0.171698	0.16887	0.164624	0.161023	0.158528	0.153954	0.150981	0.15043	0.147089	0.142445	0.138308	0.135921	0.134144	0.131342	0.12787	0.126302	0.123493	0.121621	0.12029	0.117067	0.115544	0.113505	0.112031	0.109787	0.108875	0.106993	0.106433	0.105258	0.104165	0.103881	0.102054	0.101291	0.101368	0.100074	0.100247	0.100262	0.100665	0.100934	0.102075	0.102634
eve_37ext_ru_GT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.33	0.67	0.89	1	0.89	0.67	0.33	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
